Team First Last             Ag    G   AB    R    H  2B 3B  HR  RBI  BB   SO    BA   OBP   SLG  SB  CS GDP HBP  SH  SF IBB  OPS
 FLA Daniel Barone          24   16    9    1    1   0  0   0    0   0    7  .111  .111  .111   0   0   0   0   2   0   0  -41
 FLA Ricky Nolasco          24    5    6    0    0   0  0   0    0   0    3  .000  .000  .000   0   0   0   0   1   0   0 -100
 FLA Lee Gardner            32   61    4    0    0   0  0   0    0   0    3  .000  .000  .000   0   0   0   0   0   0   0 -100
 FLA Renyel Pinto           24   54    3    0    0   0  0   0    0   0    2  .000  .000  .000   0   0   0   0   0   0   0 -100
 FLA Chris Seddon           23    7    3    0    0   0  0   0    0   0    2  .000  .000  .000   0   0   0   0   2   0   0 -100
 FLA Kevin Gregg            29   69    2    0    0   0  0   0    0   0    2  .000  .000  .000   0   0   0   0   0   0   0 -100
 FLA Josh Johnson           23    3    2    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   1   0   0 -100
 FLA Justin Miller          29   58    2    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   0   0   0 -100
 FLA Logan Kensing          24    9    1    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   0   0   0 -100
 FLA Matt Lindstrom         27   67    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 FLA Carlos Martinez        25    2    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 FLA Randy Messenger        25   23    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   1   0   0 -100
 FLA Ross Wolf              24   14    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 CIN Dave Ross              30  112  311   32   63  10  0  17   39  30   92  .203  .271  .399   0   0   9   0   5   2   4   68
 CIN Scott Hatteberg        37  116  361   50  112  27  1  10   47  49   35  .310  .394  .474   0   0   8   3   1   3   6  120
 CIN Brandon Phillips       26  158  650  107  187  26  6  30   94  33  109  .288  .331  .485  32   8  26  12   2   5   4  105
 CIN Edwin Encarnacion      24  139  502   66  145  25  1  16   76  39   86  .289  .356  .438   8   1   5  14   0   1   4  101
